kata,sinonim1,sinonim2,sinonim3
nadi,aorta,arteri,pembuluh darah
provinsi,wilayah,daerah,kawasan
padu,padat,kompak,kukuh
sirkus,pertunjukan,akrobat,tontonan
lacak,melacak,menelusuri,mengusut
ringkus,menangkap,mengikat,memberkas
belanja,ongkos,biaya,bayaran
sopan,tertib,santun,baik budi
mustika,permata,manikam,adiratna
maut,kematian,ajal,wafat
subur,makmur,lebat,berkembang
gelandang,berkeliaran,menggelandang,bertualangan
kucil,mengucilkan,mengasingkan,memencilkan
beli,membeli,menebus,membayar
mesin,alat,motor,jentera
tulang,kerangka,rangka,os
gagap,cadel,pelo,tidak lancar
terjal,curam,menanjak,mendaki
kru,awak,tim,personel
diskusi,perbincangan,musyawarah,dialog
kematian,wafat,meninggal,tewas
melihat,menyaksikan,memandang,memperhatikan
percaya,yakin,menganggap benar,mempercayai
teman,kawan,sahabat,rekan
guru,pengajar,pendidik,ustaz
bahagia,senang,gembira,ceria
sirna,hilang,lenyap,pudar
wanita,perempuan,cewek,gadis
paruh baya,tengah umur,dewasa,setengah tua
kesengsaraan,penderitaan,kesulitan,kemalangan
pria,laki-laki,cowok,lelaki
dingin,cuek,tidak peduli,dingin hati
teror,ancaman,intimidasi,gangguan
penglihatan,pengamatan,pandangan,visualisasi
bahaya,ancaman,risiko,musibah
geng,kelompok,komplotan,pergaulan
keluarga,rumah tangga,kerabat,sanak saudara
rahasia,siasat tersembunyi,hal tersembunyi,informasi pribadi
trauma,bekas luka,tekanan jiwa,gangguan mental
fotografer,juru foto,pengambil gambar,pemotret
hidup,kehidupan,eksistensi,nasib
